Organism	Strain	GenBank	GenBank	BioSample	BioProject	collection date	geographic location	host	isolation source
Corynebacterium striatum	ATCC 6940	GCA_000159135.1	GCA_000159135.1	SAMN00001507	PRJNA31449	unknown	missing	Homo sapiens	missing
Corynebacterium striatum	1961	GCA_000988225.1	GCA_000988225.1	SAMN03458462	PRJNA280207	unknown	Brazil	Homo sapiens	urine
Corynebacterium striatum	1327_CAUR	GCA_001053405.1	GCA_001053405.1	SAMN03197307	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	1329_CAUR	GCA_001053435.1	GCA_001053435.1	SAMN03197309	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	587_CAUR	GCA_001055405.1	GCA_001055405.1	SAMN03197788	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	797_CAUR	GCA_001058455.1	GCA_001058455.1	SAMN03198009	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	962_CAUR	GCA_001059665.1	GCA_001059665.1	SAMN03198182	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	963_CAUR	GCA_001059955.1	GCA_001059955.1	SAMN03198183	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	542_CAUR	GCA_001076975.1	GCA_001076975.1	SAMN03197740	PRJNA267549	unknown	USA: WA	Homo sapiens	missing
Corynebacterium striatum	KC-Na-01	GCA_002156805.1	GCA_002156805.1	SAMN07109493	PRJNA386621	2017	South Korea: South sea	Neophocaena asiaeorientalis	Blowhole swab
Corynebacterium striatum	2230	GCA_002775055.1	GCA_002775055.1	SAMN04517755	PRJNA313269	unknown	Brazil: Rio de Janeiro	Homo sapiens	blood
Corynebacterium striatum	2247	GCA_002775105.1	GCA_002775105.1	SAMN04517757	PRJNA313272	unknown	Brazil:Rio de Janeiro	Homo sapiens	NA
Corynebacterium striatum	215	GCA_002803965.1	GCA_002803965.1	SAMN05374476	PRJNA278886	2016	USA:Boston	Homo sapiens	sputum
Corynebacterium striatum	216	GCA_002804085.1	GCA_002804085.1	SAMN05178544	PRJNA278886	2016	USA:Boston	Homo sapiens	tracheal aspirate
Corynebacterium striatum	2023	GCA_002865925.1	GCA_002865925.1	SAMN03490149	PRJNA281414	2009	Brazil: teaching hospital in Rio de Janeiro	Homo sapiens	patients
Corynebacterium striatum	2130	GCA_003202245.1	GCA_003202245.1	SAMN07532617	PRJNA399282	2010	Brazil: Rio de Janeiro	Homo sapiens	blood
Corynebacterium striatum	2296	GCA_003202295.1	GCA_003202295.1	SAMN07533541	PRJNA399337	2011	Brazil: Rio de Janeiro	Homo sapiens	Venous cateter
Corynebacterium striatum	2425	GCA_003202355.1	GCA_003202355.1	SAMN07535082	PRJNA399495	2012	Brazil: Rio de Janeiro	Homo sapiens	blood
Corynebacterium striatum	WP1a	GCA_004138065.1	GCA_004138065.1	SAMN10723573	PRJNA420593	2013	USA: Missouri	Homo sapiens	bloodstream of patient with high level daptomycin resistance
Corynebacterium striatum	NBRC 15291	GCA_006538485.1	GCA_006538485.1	SAMD00169825	PRJDB8042	unknown	missing	missing	missing
Corynebacterium striatum	LK37	GCA_008373895.1	GCA_008373895.1	SAMN10134347	PRJNA506988	2011	USA	Homo sapiens	foot ulcer
Corynebacterium striatum	CSc20	GCA_011682935.1	GCA_011682935.1	SAMN11811890	PRJNA544998	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	NSCs20	GCA_011682945.1	GCA_011682945.1	SAMN11811889	PRJNA544998	2018	China: Beijing	Homo sapiens	nasopharynx
Corynebacterium striatum	CSc27	GCA_011682965.1	GCA_011682965.1	SAMN11811888	PRJNA544998	2018	China: Beijing	Homo sapiens	sputum
